transaction_id,customer_id,date,amount,transaction_type
T000140,C00594,2023-12-06,3614,Withdrawal
T000141,C01001,2023-10-05,13915,Deposit
T000142,C02967,2023-11-02,6776,Loan Payment
T000143,C01509,2023-04-23,17564,Deposit
T000144,C01692,2023-11-20,8083,Loan Payment
T000145,C01653,2023-10-22,5945,Withdrawal
T000146,C01184,2023-04-19,31206,Loan Payment
T000147,C00472,2023-09-22,20245,Loan Payment
T000148,C00892,2023-09-18,19590,Deposit
T000149,C00445,2023-07-10,7867,Deposit
T000150,C01536,2023-07-11,10896,Loan Payment
T000151,C02250,2023-06-20,7721,Withdrawal
T000152,C00968,2023-10-31,12189,Withdrawal
T000153,C01801,2023-08-13,31962,Loan Payment
T000154,C01347,2023-07-28,3203,Deposit
T000155,C02860,2023-05-03,16709,Deposit
T000156,C02133,2023-12-18,12703,Deposit
T000157,C00455,2023-06-27,8068,Withdrawal
T000158,C01394,2023-04-25,44811,Loan Payment
T000159,C01723,2023-02-14,15451,Loan Payment
T000160,C00128,2023-02-02,14864,Loan Payment
T000161,C00178,2023-12-21,3740,Withdrawal
T000162,C02042,2023-01-24,14184,Deposit
T000163,C00116,2023-06-11,11174,Deposit
T000164,C02362,2023-04-09,17885,Loan Payment
T000165,C00856,2023-08-05,18346,Loan Payment
T000166,C01569,2023-11-06,3104,Withdrawal
T000167,C00906,2023-06-25,12446,Deposit
T000168,C02976,2023-06-19,3254,Withdrawal
T000169,C00771,2023-09-27,11744,Deposit
T000170,C00932,2023-09-04,6365,Withdrawal
T000171,C00429,2023-03-14,9054,Withdrawal
T000172,C00833,2023-08-31,2626,Withdrawal
T000173,C02905,2023-01-03,24542,Loan Payment
T000174,C01056,2023-03-08,39851,Loan Payment
T000175,C00720,2023-04-19,12705,Withdrawal
T000176,C00165,2023-09-16,3730,Withdrawal
T000177,C00522,2023-01-03,11882,Withdrawal
T000178,C01151,2023-11-30,13533,Deposit
T000179,C01685,2023-04-27,13187,Deposit
T000180,C02192,2023-10-24,2631,Deposit
T000181,C01235,2023-05-13,10498,Deposit
T000182,C01975,2023-03-18,799,Withdrawal
T000183,C02557,2023-11-06,2137,Deposit
T000184,C01388,2023-05-03,18270,Loan Payment
T000185,C01999,2023-11-29,22705,Loan Payment
T000186,C00976,2023-07-29,31870,Loan Payment
T000187,C00793,2023-04-17,5066,Withdrawal
T000188,C02680,2023-03-30,1656,Deposit
T000189,C00195,2023-10-04,14923,Deposit
T000190,C02451,2023-12-21,3373,Withdrawal
T000191,C02817,2023-02-01,3337,Deposit
T000192,C02096,2023-07-21,6075,Withdrawal
T000193,C00642,2023-05-12,11931,Withdrawal
T000194,C00437,2023-11-11,12987,Withdrawal
T000195,C02486,2023-08-22,34645,Loan Payment
T000196,C01259,2023-10-16,3947,Withdrawal
T000197,C01117,2023-03-27,7040,Withdrawal
T000198,C02377,2023-05-14,9057,Loan Payment
T000199,C02600,2023-05-17,43179,Loan Payment
T000200,C02153,2023-10-22,1838,Withdrawal
T000201,C00207,2023-06-17,8397,Withdrawal
T000202,C01548,2023-05-28,14842,Loan Payment
T000203,C00365,2023-02-15,10359,Deposit
T000204,C02783,2023-05-16,1523,Withdrawal
T000205,C00111,2023-02-27,27876,Loan Payment
T000206,C01709,2023-11-30,7121,Withdrawal
T000207,C01886,2023-05-21,46275,Loan Payment
T000208,C02343,2023-11-02,12093,Deposit
T000209,C00643,2023-05-14,16790,Deposit
T000210,C01673,2023-02-18,41317,Loan Payment
T000211,C01182,2023-06-11,12603,Withdrawal
T000212,C01197,2023-01-04,16401,Loan Payment
T000213,C01857,2023-04-24,2297,Deposit
T000214,C01145,2023-02-28,28751,Loan Payment
T000215,C00668,2023-10-12,10610,Loan Payment
T000216,C02337,2023-07-09,2854,Withdrawal
T000217,C02331,2023-09-03,12196,Withdrawal
T000218,C02272,2023-04-18,5605,Loan Payment
T000219,C02636,2023-01-27,31367,Loan Payment
T000220,C02259,2023-03-04,4247,Withdrawal
T000221,C02207,2023-04-24,3400,Withdrawal
T000222,C00028,2023-06-19,7244,Withdrawal
T000223,C01366,2023-04-27,16393,Loan Payment
T000224,C00468,2023-06-28,8154,Withdrawal
T000225,C02257,2023-09-28,3420,Withdrawal
T000226,C01814,2023-08-03,11439,Withdrawal
T000227,C00055,2023-04-20,19096,Deposit
T000228,C00221,2023-11-16,8106,Deposit
T000229,C02855,2023-05-04,7698,Withdrawal
T000230,C01410,2023-09-18,10471,Deposit
T000231,C00809,2023-08-18,11334,Withdrawal
T000232,C00369,2023-11-01,8422,Deposit
T000233,C01975,2023-10-05,28515,Loan Payment
T000234,C02515,2023-08-22,1883,Withdrawal
T000235,C02297,2023-10-09,17837,Deposit
T000236,C00064,2023-07-15,48237,Loan Payment
T000237,C02527,2023-08-22,11256,Loan Payment
T000238,C00656,2023-10-08,24895,Loan Payment
T000239,C02789,2023-03-28,12953,Withdrawal
T000240,C00189,2023-11-22,11657,Withdrawal
T000241,C02755,2023-05-02,8075,Deposit
T000242,C00173,2023-07-04,34525,Loan Payment
T000243,C02527,2023-01-23,8116,Withdrawal
T000244,C00373,2023-04-20,22123,Loan Payment
T000245,C01724,2023-05-06,23092,Loan Payment
T000246,C00136,2023-10-08,24183,Loan Payment
T000247,C01009,2023-07-07,11681,Withdrawal
T000248,C02504,2023-12-31,32049,Loan Payment
T000249,C00057,2023-05-22,5758,Deposit
T000250,C00978,2023-01-07,11840,Deposit
T000251,C02972,2023-12-07,4102,Withdrawal
T000252,C02861,2023-11-05,19224,Deposit
T000253,C02023,2023-11-02,29844,Loan Payment
T000254,C02911,2023-02-04,6557,Deposit
T000255,C01404,2023-09-08,15947,Deposit
T000256,C00033,2023-03-17,7355,Deposit
T000257,C02764,2023-05-18,45422,Loan Payment
T000258,C01654,2023-03-15,10842,Loan Payment
T000259,C00719,2023-10-30,27810,Loan Payment
T000260,C01889,2023-03-29,5764,Deposit
T000261,C02879,2023-07-26,2079,Withdrawal
T000262,C00576,2023-02-14,8246,Deposit
T000263,C01175,2023-06-16,3106,Withdrawal
T000264,C02448,2023-02-02,1644,Deposit
T000265,C01271,2023-10-06,7149,Withdrawal
T000266,C00787,2023-08-22,9743,Loan Payment
T000267,C02985,2023-10-10,4819,Withdrawal
T000268,C01317,2023-08-19,7892,Withdrawal
T000269,C02625,2023-04-01,703,Withdrawal
T000270,C00868,2023-09-05,8516,Deposit
T000271,C00418,2023-01-02,37931,Loan Payment
T000272,C01290,2023-12-11,19211,Deposit
T000273,C01218,2023-05-09,15102,Deposit
T000274,C00488,2023-05-19,16235,Deposit
T000275,C02563,2023-10-28,6461,Withdrawal
T000276,C01035,2023-03-29,4871,Withdrawal
T000277,C01288,2023-12-21,5946,Withdrawal
T000278,C02868,2023-01-16,37184,Loan Payment
T000279,C01743,2023-12-11,3341,Deposit
T000280,C02905,2023-04-12,13691,Withdrawal
T000281,C02500,2023-04-25,5761,Withdrawal
T000282,C02442,2023-06-10,13374,Withdrawal
T000283,C01218,2023-08-08,7506,Deposit
T000284,C00991,2023-06-19,14446,Deposit
T000285,C00472,2023-06-05,26693,Loan Payment
T000286,C02697,2023-12-22,6220,Deposit
T000287,C00928,2023-07-29,20201,Loan Payment
T000288,C01322,2023-01-10,8553,Deposit
T000289,C01717,2023-10-26,34303,Loan Payment
T000290,C00430,2023-07-10,9285,Deposit
T000291,C02361,2023-01-19,39009,Loan Payment
T000292,C02612,2023-04-20,13536,Withdrawal
T000293,C00653,2023-02-08,36028,Loan Payment
T000294,C01329,2023-06-20,9599,Deposit
T000295,C00395,2023-02-07,8852,Deposit
T000296,C02968,2023-09-09,24255,Loan Payment
T000297,C01618,2023-03-13,10039,Deposit
T000298,C00094,2023-05-23,2022,Withdrawal
T000299,C00729,2023-01-23,36318,Loan Payment
T000300,C00620,2023-07-13,21109,Loan Payment
T000301,C02408,2023-06-27,43125,Loan Payment
T000302,C02830,2023-09-24,13872,Withdrawal
T000303,C02445,2023-02-12,14779,Withdrawal
T000304,C01261,2023-10-29,1007,Withdrawal
T000305,C01915,2023-02-28,7915,Withdrawal
T000306,C00374,2023-03-03,22852,Loan Payment
T000307,C01649,2023-04-28,6354,Withdrawal
T000308,C00963,2023-03-13,15585,Loan Payment
T000309,C01717,2023-09-15,3222,Withdrawal
T000310,C02951,2023-04-12,20014,Loan Payment
T000311,C01739,2023-07-08,5476,Withdrawal
T000312,C00357,2023-11-17,12638,Withdrawal
T000313,C01786,2023-12-22,40465,Loan Payment
T000314,C00778,2023-04-14,8151,Withdrawal
T000315,C02113,2023-09-03,3467,Deposit
T000316,C01063,2023-03-03,1838,Withdrawal
T000317,C01726,2023-04-30,9331,Deposit
T000318,C00948,2023-01-06,5115,Deposit
T000319,C00076,2023-11-11,40001,Loan Payment
T000320,C00304,2023-03-08,10837,Deposit
T000321,C00670,2023-09-25,2215,Deposit
T000322,C00747,2023-09-16,19389,Deposit
T000323,C02334,2023-06-28,14227,Withdrawal
T000324,C02804,2023-01-04,1805,Withdrawal
T000325,C01072,2023-11-03,15422,Deposit
T000326,C01214,2023-05-03,1869,Withdrawal
T000327,C02425,2023-03-02,14440,Deposit
T000328,C01042,2023-10-30,9233,Withdrawal
T000329,C00581,2023-03-11,4031,Withdrawal
T000330,C00911,2023-05-25,10440,Deposit
T000331,C02135,2023-10-28,27421,Loan Payment
T000332,C02195,2023-11-12,12248,Withdrawal
T000333,C00385,2023-03-01,8490,Withdrawal
T000334,C00608,2023-02-21,951,Withdrawal
T000335,C01361,2023-06-08,10113,Withdrawal
T000336,C02885,2023-01-21,2317,Deposit
T000337,C01556,2023-09-20,15084,Deposit
T000338,C01819,2023-07-16,10007,Deposit
T000339,C00627,2023-06-28,4425,Withdrawal
T000340,C01945,2023-03-02,46201,Loan Payment
T000341,C00304,2023-06-14,3368,Withdrawal
T000342,C01520,2023-01-26,2965,Deposit
T000343,C01005,2023-09-17,30497,Loan Payment
T000344,C01597,2023-04-21,22077,Loan Payment
T000345,C01153,2023-05-07,15993,Deposit
T000346,C02054,2023-12-22,12388,Deposit
T000347,C02561,2023-11-07,18578,Loan Payment
T000348,C00805,2023-06-23,30048,Loan Payment
T000349,C02398,2023-11-21,5868,Withdrawal
T000350,C02070,2023-12-19,9623,Withdrawal
T000351,C02555,2023-02-03,30011,Loan Payment
T000352,C01257,2023-11-14,17586,Deposit
T000353,C02031,2023-11-26,9498,Deposit
T000354,C02529,2023-08-01,3630,Withdrawal
T000355,C00101,2023-08-23,36122,Loan Payment
T000356,C02649,2023-12-07,30283,Loan Payment
T000357,C01707,2023-09-17,19737,Deposit
T000358,C02015,2023-10-05,14810,Withdrawal
T000359,C00805,2023-12-02,12519,Withdrawal
T000360,C00111,2023-05-15,22212,Loan Payment
T000361,C01725,2023-05-30,37560,Loan Payment
T000362,C00886,2023-06-18,6827,Deposit
T000363,C02189,2023-02-22,12828,Withdrawal
T000364,C01266,2023-06-21,8961,Deposit
T000365,C00496,2023-08-11,3684,Withdrawal
T000366,C00889,2023-07-02,19904,Deposit
T000367,C01678,2023-12-24,13712,Loan Payment
T000368,C02444,2023-07-12,6764,Deposit
T000369,C01401,2023-02-23,34669,Loan Payment
T000370,C02440,2023-09-05,9191,Withdrawal
T000371,C01017,2023-10-25,6283,Deposit
T000372,C01063,2023-09-07,16898,Deposit
T000373,C01109,2023-01-10,1999,Withdrawal
T000374,C00145,2023-03-07,7553,Withdrawal
T000375,C01630,2023-04-26,6731,Withdrawal
T000376,C01106,2023-12-20,18543,Deposit
T000377,C00126,2023-03-03,5788,Deposit
T000378,C00537,2023-03-10,19350,Loan Payment
T000379,C02573,2023-08-17,3797,Withdrawal
T000380,C02095,2023-11-11,6517,Deposit
T000381,C00789,2023-08-15,19763,Loan Payment
T000382,C00033,2023-06-01,49740,Loan Payment
T000383,C02035,2023-07-14,13059,Withdrawal
T000384,C02382,2023-12-27,14161,Deposit
T000385,C02576,2023-11-07,34890,Loan Payment
T000386,C00388,2023-08-15,9159,Deposit
T000387,C00104,2023-12-28,892,Withdrawal
T000388,C01642,2023-07-09,13618,Deposit
T000389,C02322,2023-10-18,1387,Deposit
T000390,C01624,2023-10-26,26673,Loan Payment
T000391,C02259,2023-03-10,10440,Loan Payment
T000392,C02504,2023-07-24,8254,Loan Payment
T000393,C02153,2023-07-27,2113,Withdrawal
T000394,C02220,2023-05-18,31727,Loan Payment
T000395,C00732,2023-09-06,3228,Withdrawal
T000396,C02526,2023-12-08,44725,Loan Payment
T000397,C00020,2023-06-14,18073,Deposit
T000398,C01430,2023-06-18,6229,Withdrawal
T000399,C02491,2023-03-28,13818,Deposit
T000400,C00790,2023-08-11,6139,Withdrawal
T000401,C02540,2023-01-02,26848,Loan Payment
T000402,C01911,2023-05-13,19598,Deposit
T000403,C02983,2023-11-08,23729,Loan Payment
T000404,C01262,2023-05-25,4400,Deposit
T000405,C00737,2023-03-17,15557,Loan Payment
T000406,C02239,2023-10-11,8301,Withdrawal
T000407,C00576,2023-05-22,5058,Withdrawal
T000408,C00129,2023-08-29,2497,Deposit
T000409,C02251,2023-06-17,32882,Loan Payment
T000410,C02527,2023-12-20,2111,Deposit
T000411,C00131,2023-11-29,49731,Loan Payment
T000412,C02062,2023-07-20,7648,Deposit
T000413,C02816,2023-03-07,4034,Withdrawal
T000414,C01522,2023-12-09,9577,Withdrawal
T000415,C01516,2023-08-15,7497,Loan Payment
T000416,C01839,2023-07-18,6866,Deposit
T000417,C00817,2023-06-29,3268,Deposit
T000418,C00570,2023-01-26,35861,Loan Payment
T000419,C00628,2023-06-09,9840,Withdrawal
T000420,C00534,2023-06-23,10338,Withdrawal
T000421,C00404,2023-08-31,12344,Deposit
T000422,C00990,2023-02-13,10479,Deposit
T000423,C02962,2023-09-28,40901,Loan Payment
T000424,C02872,2023-05-18,48433,Loan Payment
T000425,C01093,2023-08-28,9409,Loan Payment
T000426,C01307,2023-11-01,14830,Loan Payment
T000427,C02094,2023-11-27,31744,Loan Payment
T000428,C00411,2023-03-24,10635,Loan Payment
T000429,C02566,2023-01-03,4125,Withdrawal
T000430,C02021,2023-10-16,12023,Withdrawal
T000431,C00707,2023-10-26,15522,Loan Payment
T000432,C01076,2023-02-07,12214,Loan Payment
T000433,C02042,2023-01-27,2352,Deposit
T000434,C02229,2023-02-18,2643,Deposit
T000435,C01485,2023-05-06,18027,Loan Payment
T000436,C00649,2023-01-01,12008,Deposit
T000437,C01781,2023-09-29,7938,Deposit
T000438,C00085,2023-07-06,14034,Deposit
T000439,C02480,2023-08-23,20344,Loan Payment
T000440,C02845,2023-11-30,9430,Withdrawal
T000441,C02267,2023-11-02,7451,Loan Payment
T000442,C01191,2023-04-13,9949,Withdrawal
T000443,C01141,2023-12-03,9071,Withdrawal
T000444,C00979,2023-05-07,42623,Loan Payment
T000445,C00406,2023-10-14,3583,Deposit
T000446,C00897,2023-01-21,3070,Withdrawal
T000447,C00655,2023-06-13,2698,Deposit
T000448,C02029,2023-11-25,8582,Withdrawal
T000449,C01067,2023-11-28,44065,Loan Payment
T000450,C02877,2023-07-23,16377,Loan Payment
T000451,C01350,2023-12-21,9558,Withdrawal
T000452,C01011,2023-10-21,40227,Loan Payment
T000453,C00669,2023-04-26,45458,Loan Payment
T000454,C00910,2023-12-27,12573,Deposit
T000455,C01898,2023-08-30,11022,Deposit
T000456,C01482,2023-05-17,16849,Deposit
T000457,C02872,2023-02-26,5169,Deposit
T000458,C01481,2023-08-14,14899,Withdrawal
T000459,C00964,2023-06-03,10434,Deposit
T000460,C00530,2023-07-03,39192,Loan Payment
T000461,C00859,2023-04-25,46179,Loan Payment
T000462,C00485,2023-06-05,9118,Deposit
T000463,C01204,2023-06-09,2443,Deposit
T000464,C02509,2023-03-12,27207,Loan Payment
T000465,C00013,2023-10-28,41553,Loan Payment
T000466,C00312,2023-03-24,13890,Withdrawal
T000467,C02673,2023-02-01,14438,Deposit
T000468,C02624,2023-05-03,49607,Loan Payment
T000469,C00431,2023-04-11,8776,Withdrawal
T000470,C01651,2023-09-15,12204,Withdrawal
T000471,C00162,2023-01-08,30654,Loan Payment
T000472,C01623,2023-10-07,7849,Deposit
T000473,C00025,2023-04-30,4107,Withdrawal
T000474,C02114,2023-12-29,14052,Loan Payment
T000475,C01641,2023-08-14,19633,Deposit
T000476,C00572,2023-01-31,14804,Deposit
T000477,C01273,2023-03-24,6930,Deposit
T000478,C01223,2023-10-22,9193,Loan Payment
T000479,C02995,2023-05-15,13483,Loan Payment
T000480,C00230,2023-08-23,16591,Deposit
T000481,C01227,2023-10-09,5438,Withdrawal
T000482,C02541,2023-07-20,21868,Loan Payment
T000483,C02786,2023-11-19,1377,Withdrawal
T000484,C01315,2023-03-02,4434,Withdrawal
T000485,C00838,2023-09-12,41837,Loan Payment
T000486,C01618,2023-09-14,13249,Deposit
T000487,C01227,2023-12-01,1463,Withdrawal
T000488,C00311,2023-02-25,15941,Loan Payment
T000489,C01511,2023-05-31,4292,Withdrawal
T000490,C00560,2023-06-02,13150,Withdrawal
T000491,C00950,2023-03-11,3192,Deposit
T000492,C00593,2023-07-06,15737,Deposit
T000493,C01014,2023-09-11,4589,Deposit
T000494,C02035,2023-07-11,11633,Deposit
T000495,C01401,2023-08-02,13514,Deposit
T000496,C00654,2023-06-13,16476,Deposit
T000497,C00514,2023-08-07,7033,Withdrawal
T000498,C01011,2023-06-18,12341,Withdrawal
T000499,C01281,2023-04-10,6877,Withdrawal
T000500,C00323,2023-05-14,14204,Deposit
T000501,C02630,2023-12-11,6015,Deposit
T000502,C00170,2023-05-26,14979,Withdrawal
T000503,C02410,2023-06-11,8094,Deposit
T000504,C02412,2023-09-21,19596,Loan Payment
T000505,C02026,2023-11-23,13885,Withdrawal
T000506,C01726,2023-03-14,14483,Deposit
T000507,C02239,2023-01-10,19900,Deposit
T000508,C00459,2023-03-25,13366,Withdrawal
T000509,C01100,2023-07-18,19206,Deposit
T000510,C00667,2023-10-10,18790,Deposit
T000511,C02552,2023-06-14,16409,Deposit
T000512,C00661,2023-08-04,14832,Withdrawal
T000513,C01947,2023-08-05,19255,Loan Payment
T000514,C01044,2023-11-13,5558,Withdrawal
T000515,C00806,2023-01-20,25028,Loan Payment
T000516,C01850,2023-05-22,18910,Deposit
T000517,C02533,2023-09-16,10022,Withdrawal
T000518,C01388,2023-02-23,1425,Withdrawal
T000519,C02121,2023-04-17,6347,Loan Payment
T000520,C00581,2023-01-22,5301,Withdrawal
T000521,C00120,2023-03-01,10433,Deposit
T000522,C02329,2023-07-22,5440,Deposit
T000523,C01902,2023-06-01,1815,Withdrawal
T000524,C02442,2023-02-13,12366,Deposit
T000525,C01493,2023-12-24,2089,Deposit
T000526,C01238,2023-07-18,10747,Deposit
T000527,C00989,2023-11-26,5174,Withdrawal
T000528,C01454,2023-11-24,12020,Deposit
T000529,C01177,2023-12-18,15297,Deposit
T000530,C01834,2023-10-27,40721,Loan Payment
T000531,C02074,2023-04-20,10317,Withdrawal
T000532,C02122,2023-10-28,13339,Deposit
T000533,C00118,2023-04-14,16333,Deposit
T000534,C00805,2023-01-11,48370,Loan Payment
T000535,C02855,2023-09-29,3370,Deposit
T000536,C02320,2023-06-09,16633,Deposit
T000537,C02115,2023-09-02,5806,Withdrawal
T000538,C01628,2023-06-05,4914,Deposit
T000539,C01273,2023-08-21,1260,Withdrawal
T000540,C02778,2023-01-11,4688,Withdrawal
T000541,C02997,2023-06-14,6607,Withdrawal
T000542,C01596,2023-02-23,10861,Withdrawal
T000543,C00499,2023-05-29,46449,Loan Payment
T000544,C00095,2023-03-03,16239,Deposit
T000545,C01744,2023-07-30,39104,Loan Payment
T000546,C02468,2023-12-09,13379,Loan Payment
T000547,C02065,2023-02-24,36356,Loan Payment
T000548,C01424,2023-11-28,22669,Loan Payment
T000549,C01764,2023-05-18,13622,Withdrawal
T000550,C00569,2023-03-11,1839,Withdrawal
T000551,C00971,2023-10-06,12143,Deposit
T000552,C01297,2023-01-21,8155,Deposit
T000553,C01492,2023-04-30,1155,Deposit
T000554,C02906,2023-01-16,1053,Withdrawal
T000555,C00418,2023-08-15,9673,Loan Payment
T000556,C00613,2023-02-17,19085,Deposit
T000557,C02633,2023-09-26,16931,Loan Payment
T000558,C02565,2023-02-18,6071,Deposit
T000559,C00865,2023-04-01,9244,Loan Payment
T000560,C00289,2023-06-11,41476,Loan Payment
T000561,C00142,2023-08-03,46831,Loan Payment
T000562,C02139,2023-02-10,16448,Deposit
T000563,C00321,2023-03-17,49961,Loan Payment
T000564,C00692,2023-08-03,5849,Deposit
T000565,C02337,2023-01-21,16471,Deposit
T000566,C00776,2023-06-13,13558,Deposit
T000567,C00630,2023-05-16,9445,Loan Payment
T000568,C01681,2023-11-07,16458,Deposit
T000569,C02963,2023-04-10,1352,Withdrawal
T000570,C00049,2023-07-12,13953,Withdrawal
T000571,C02105,2023-04-13,49087,Loan Payment
T000572,C02768,2023-09-11,38583,Loan Payment
T000573,C01684,2023-02-09,35023,Loan Payment
